"location","year","sex","total"
"Australia",2006,"male",1623
"Australia",2007,"female",530
"Australia",2007,"male",1699
"Australia",2008,"female",508
"Australia",2008,"male",1833
"Australia",2009,"female",552
"Australia",2009,"male",1785
"Australia",2010,"female",553
"Australia",2010,"male",1867
"Australia",2011,"female",580
"Australia",2011,"male",1812
"Australia",2012,"female",650
"Australia",2012,"male",1930
"Australia",2013,"female",664
"Australia",2013,"male",1944
"Australia",2014,"female",709
"Australia",2014,"male",2182
"Australia",2015,"female",735
"Australia",2015,"male",2292
"Austria",1985,"female",624
"Austria",1985,"male",1467
"Austria",1986,"female",628
"Austria",1986,"male",1511
"Austria",1987,"female",624
"Austria",1987,"male",1445
"Austria",1988,"female",529
"Austria",1988,"male",1322
"Austria",1989,"female",585
"Austria",1989,"male",1313
"Austria",1990,"female",541
"Austria",1990,"male",1284
"Austria",1991,"female",470
"Austria",1991,"male",1299
"Austria",1992,"female",477
"Austria",1992,"male",1282
"Austria",1993,"female",460
"Austria",1993,"male",1244
"Austria",1994,"female",491
"Austria",1994,"male",1285
"Austria",1995,"female",455
"Austria",1995,"male",1333
"Austria",1996,"female",443
"Austria",1996,"male",1336
"Austria",1997,"female",417
"Austria",1997,"male",1175
"Austria",1998,"female",382
"Austria",1998,"male",1177
"Austria",1999,"female",429
"Austria",1999,"male",1126
"Austria",2000,"female",432
"Austria",2000,"male",1156
"Austria",2001,"female",408
"Austria",2001,"male",1081
"Austria",2002,"female",363
"Austria",2002,"male",1190
"Austria",2003,"female",388
"Austria",2003,"male",1068
"Austria",2004,"female",346
"Austria",2004,"male",1076
"Austria",2005,"female",350
"Austria",2005,"male",1049
"Austria",2006,"female",297
"Austria",2006,"male",1000
"Austria",2007,"female",317
"Austria",2007,"male",968
"Austria",2008,"female",304
"Austria",2008,"male",963
"Austria",2009,"female",306
"Austria",2009,"male",972
"Austria",2010,"female",294
"Austria",2010,"male",970
"Austria",2011,"female",313
"Austria",2011,"male",975
"Austria",2012,"female",289
"Austria",2012,"male",987
"Austria",2013,"female",324
"Austria",2013,"male",967
"Austria",2014,"female",324
"Austria",2014,"male",990
"Austria",2015,"female",290
"Austria",2015,"male",961
"Austria",2016,"female",295
"Austria",2016,"male",906
"Azerbaijan",1990,"female",25
"Azerbaijan",1990,"male",89
"Azerbaijan",1991,"female",32
"Azerbaijan",1991,"male",102
"Azerbaijan",1992,"female",38
"Azerbaijan",1992,"male",106
"Azerbaijan",1993,"female",36
"Azerbaijan",1993,"male",83
"Azerbaijan",1994,"female",19
"Azerbaijan",1994,"male",28
"Azerbaijan",1995,"female",7
"Azerbaijan",1995,"male",42
"Azerbaijan",1996,"female",13
"Azerbaijan",1996,"male",56
"Azerbaijan",1997,"female",21
"Azerbaijan",1997,"male",86
"Azerbaijan",1998,"female",15
"Azerbaijan",1998,"male",41
"Azerbaijan",1999,"female",10
"Azerbaijan",1999,"male",44
"Azerbaijan",2000,"female",16
"Azerbaijan",2000,"male",46
"Azerbaijan",2001,"female",81
"Azerbaijan",2001,"male",236
"Azerbaijan",2002,"female",19
"Azerbaijan",2002,"male",73
"Azerbaijan",2003,"female",36
"Azerbaijan",2003,"male",93
"Azerbaijan",2004,"female",30
"Azerbaijan",2004,"male",78
"Azerbaijan",2007,"female",14
"Azerbaijan",2007,"male",41
"Bahamas",1985,"female",0
"Bahamas",1985,"male",1
"Bahamas",1987,"female",0
"Bahamas",1987,"male",3
"Bahamas",1993,"female",1
"Bahamas",1993,"male",6
"Bahamas",1994,"female",0
"Bahamas",1994,"male",3
"Bahamas",1995,"female",0
"Bahamas",1995,"male",2
"Bahamas",1996,"female",0
"Bahamas",1996,"male",3
"Bahamas",1997,"female",0
"Bahamas",1997,"male",2
"Bahamas",1998,"female",0
"Bahamas",1998,"male",3
"Bahamas",1999,"female",1
"Bahamas",1999,"male",5
"Bahamas",2000,"female",2
"Bahamas",2000,"male",9
"Bahamas",2001,"female",0
"Bahamas",2001,"male",1
"Bahamas",2002,"female",0
"Bahamas",2002,"male",3
"Bahamas",2003,"female",0
"Bahamas",2003,"male",1
"Bahamas",2004,"female",0
"Bahamas",2004,"male",2
"Bahamas",2005,"female",1
"Bahamas",2005,"male",3
"Bahamas",2006,"female",0
"Bahamas",2006,"male",2
"Bahamas",2007,"female",1
"Bahamas",2007,"male",4
"Bahamas",2008,"female",0
"Bahamas",2008,"male",4
"Bahamas",2009,"female",1
"Bahamas",2009,"male",5
"Bahamas",2010,"female",4
"Bahamas",2010,"male",6
"Bahamas",2011,"female",1
"Bahamas",2011,"male",3
"Bahamas",2012,"female",1
"Bahamas",2012,"male",4
"Bahamas",2013,"female",1
"Bahamas",2013,"male",4
"Bahrain",1985,"female",1
"Bahrain",1985,"male",10
"Bahrain",1987,"female",2
"Bahrain",1987,"male",7
"Bahrain",1988,"female",1
"Bahrain",1988,"male",13
"Bahrain",1997,"female",0
"Bahrain",1997,"male",0
"Bahrain",1998,"female",0
"Bahrain",1998,"male",0
"Bahrain",1999,"female",3
"Bahrain",1999,"male",14
"Bahrain",2000,"female",1
"Bahrain",2000,"male",28
"Bahrain",2001,"female",3
"Bahrain",2001,"male",20
"Bahrain",2002,"female",7
